date,Indiv_ID,CEWL_g_m2h,msmt_temp_C,msmt_RH_percent,reps,e_s_kPa,e_a_kPa,VPD_kPa
2022-08-22,101,24.3325,24.6,44.875,4,3.091228162037989,1.3871886377145475,1.7040395243234414
2022-08-22,102,30.15,25.075,45.55,4,3.1801304001301522,1.4485493972592842,1.731581002870868
2022-08-22,103,26.865000000000002,25.7,43.675,4,3.3005061846995267,1.4414960761675182,1.8590101085320085
2022-08-22,104,22.08,25.1,44.575,4,3.184870724534947,1.4196561254614526,1.7652145990734942
2022-08-22,105,25.67,24.95,45.150000000000006,4,3.156521139479522,1.4251692944750043,1.7313518450045176
2022-08-22,107,29.177500000000002,24.825,44.75,4,3.133065194464592,1.402046674522905,1.7310185199416872
2022-08-22,108,23.3,25.15,41.725,4,3.1943698998817203,1.3328508407256479,1.8615190591560724
2022-08-22,109,28.93,25.3,45.975,4,3.223016128084189,1.481781664886706,1.741234463197483
2022-08-22,110,26.142500000000002,25.1,41.375,4,3.184870724534947,1.3177402622763343,1.8671304622586125
2022-08-22,111,22.950000000000003,25.375,38.65,4,3.2374232248205246,1.2512640763931329,1.9861591484273917
2022-08-22,112,26.252,25.4,45.82,5,3.2422380778681092,1.4855934872791676,1.7566445905889416
2022-08-22,113,16.7975,25.400000000000002,40.675,4,3.2422380778681097,1.3187803381728533,1.9234577396952564
2022-08-22,114,26.39,25.575000000000003,44.55,4,3.27611757857373,1.4595103812545966,1.8166071973191333
2022-08-22,115,23.805,25.225,42.8,4,3.208665081232843,1.3733086547676567,1.8353564264651863
2022-08-23,117,24.208,26.82,41.68,5,3.5262018365247405,1.469720925463512,2.0564809110612288
2022-08-23,118,28.126666666666665,26.8,41.93333333333333,3,3.522056343990785,1.476915626913469,2.0451407170773157
2022-08-24,116,24.004,26.72,42.46,5,3.5055168902997837,1.4884424716212883,2.0170744186784955
2022-08-24,119,29.8625,26.8,41.95,4,3.522056343990785,1.4775026363041344,2.0445537076866502
2022-08-24,120,26.286666666666665,26.666666666666668,43.56666666666667,3,3.494528296587653,1.5224494945466875,1.9720788020409654
2022-08-25,121,23.058,23.88,49.68,5,2.960612809459942,1.4708324437396991,1.4897803657202429
2022-08-25,122,12.5625,24.2,47.375,4,3.0180558466961176,1.4298039573722858,1.5882518893238318
2022-08-25,123,13.4825,24.2,46.325,4,3.0180558466961176,1.3981143709819766,1.619941475714141
2022-08-26,124,22.6625,24.125,46.75,4,3.00450593294932,1.4046065236538072,1.5998994092955128
2022-08-26,125,14.5825,23.725,45.4,4,2.933134185145512,1.3316429200560624,1.6014912650894497
2022-08-26,126,26.759999999999998,25.2,44.975,4,3.203893822596132,1.4409512467126104,1.7629425758835215
2022-08-26,127,16.6325,24.325,46.7,4,3.0407577767782046,1.4200338817554217,1.620723895022783
