IndivID,CEWLBloodCollectDate,DayRelativeToZero
101,8/22/22,-12
,8/29/22,-5
,9/4/22,1
102,8/22/22,NA
,8/29/22,NA
,9/5/22,NA
103,8/22/22,-14
,8/29/22,-7
,9/5/22,0
,9/6/22,1
104,8/22/22,-14
,8/29/22,-7
,9/6/22,1
105,8/22/22,-14
,8/29/22,-7
,9/5/22,1
107,8/22/22,NA
,8/29/22,NA
,9/5/22,NA
108,8/22/22,NA
,8/29/22,NA
,9/5/22,NA
110,8/22/22,NA
,8/29/22,NA
,9/5/22,NA
111,8/22/22,NA
,8/29/22,NA
,9/5/22,NA
112,8/22/22,-13
,8/29/22,-6
,9/5/22,1
113,8/22/22,NA
,8/29/22,NA
,9/5/22,NA
114,8/22/22,-13
,8/29/22,-6
,9/5/22,1
115,8/22/22,-14
,8/29/22,-7
,9/5/22,0
,9/6/22,1
116,8/24/22,NA
,8/31/22,NA
117,8/23/22,NA
,8/30/22,NA
,9/6/22,NA
119,8/24/22,-12
,8/31/22,-5
,9/6/22,1
120,8/24/22,NA
,8/31/22,NA
,9/6/22,NA
123,8/25/22,NA
,9/1/22,NA
124,8/26/22,-4
,8/31/22,1
125,8/26/22,-1
,8/28/22,1
,9/4/22,8
126,8/26/22,-6
,9/2/22,1
127,8/26/22,-8
,9/3/22,0
,9/4/22,1
128,8/26/22,-2
,8/29/22,1
,9/5/22,8
129,8/26/22,-2
,8/28/22,1
,9/4/22,7
130,8/26/22,NA
,9/3/22,NA
131,8/26/22,-4
,8/31/22,1
133,8/26/22,-4
,8/31/22,1
134,8/26/22,-4
,8/31/22,1
135,8/26/22,-1
,8/28/22,1
,9/4/22,8
