Indiv_ID,Sex,Life_Stage,SVL (mm),SVL_cm,Mass_g,CEWL_g_m2h,Pregnant,Plasma_Osmol_Rep_mean,Tb_at_CEWL,CEWL_Blood_Collect_Date,Region,msmt_temp_C,msmt_RM_percent,,,,
ABR,M,adult,780,78,318.8,12.69333333,NA,410.5,25,5/28/21,chin,23.7,22.7,,,,
ARP,M,adult,915,91.5,652,12.75666667,NA,424,23,5/30/21,chin,22.2,33.6,,,,
BPPu,M,adult,708,70.8,236.2,16.03,NA,344.5,28,6/1/21,chin,23.5,21.7,,,,
BWB,M,adult,916,91.6,502.9,12.27333333,NA,378.6666667,26,5/29/21,chin,23.9,25,,,,
O1,F,adult,853,85.3,344.7,16.25333333,N,417.5,25,6/1/21,chin,23.3,24.5,,,,
PGA,M,adult,515,51.5,80.6,8.4,NA,436.5,18,5/23/21,chin,19.4,26,,,,
PPB,F,adult,NA,NA,NA,11.65,N ,414,23.5,5/31/21,chin,21.3,29.5,,,,
PPPu,F,adult,721,72.1,196.8,11.04,N,485,24,5/31/21,chin,21.6,26.5,,,,
PPuW,F,adult,841,84.1,508.1,9.95,Y,417.6666667,23,6/1/21,chin,20.4,30.6,,,,
PPuY,F,adult,921,92.1,629.3,13.71,Y,381,25,5/31/21,chin,22.7,28.6,,,,
PRP,F,adult,801,80.1,330.7,9.3,N,422,24,5/28/21,chin,23.6,19.4,,,,
PRPu,F,adult,855,85.5,445.5,14.23666667,N,381.6666667,26,6/1/21,chin,24.1,23.3,,,,
PRY,F,adult,769,76.9,365.7,6.8,N,383,22,5/27/21,chin,21.7,19.9,,,,
PuYW,M,adult,890,89,529.2,13.37,NA,380.5,24,5/28/21,chin,23.7,20.2,,,,
PuYY,M,adult,911,91.1,615.9,18.27,NA,NA,20,5/25/21,chin,19.3,25.7,,,,
PWA,F,adult,822,82.2,329.7,19.08,Y,370,20,5/25/21,chin,18,30.3,,,,
PWPu,F,adult,729,72.9,267.4,14.67333333,Y,387.5,23.5,5/31/21,chin,22,27.4,,,,
R1,F,adult,845,84.5,340.6,7.673333333,N,NA,22.5,5/30/21,chin,21.1,32.4,,,,
RBP,F,adult,868,86.8,325.6,5.793333333,N,383.5,22.5,5/28/21,chin,21.9,23.8,,,,
WBR,F,adult,825,82.5,283,4.096666667,N,370.3333333,22,5/27/21,chin,19.8,24,,,,
WGG,F,adult,843,84.3,323.6,3.173333333,N,403.5,22,5/27/21,chin,21.1,25.9,,,,
WPPu,F,adult,NA,NA,NA,6.643333333,Y,460,25,6/1/21,chin,23.1,24.4,,,,
WPuW,F,adult,812,81.2,434.2,13.64,Y,384.5,23,6/1/21,chin,22,29.1,,,,
WWA,F,adult,954,95.4,464.1,13.88666667,N,385,22.5,5/30/21,chin,21.1,36.2,,,,
WWB,F,adult,763,76.3,336.7,4.006666667,N,405.5,22.5,5/27/21,chin,19.8,22.3,,,,
WWG,F,adult,1011,101.1,524.1,13.02,N,363,24.5,5/28/21,chin,23.5,20.2,,,,
YBY,M,adult,985,98.5,NA,10.44333333,NA,408,25,5/28/21,chin,23.9,26.4,,,,
YRP,M,adult,702,70.2,247.2,7.846666667,NA,NA,26.5,6/1/21,chin,24.4,23.1,,,,
YYP,M,adult,811,81.1,382.3,14.89,NA,388.5,26,5/29/21,chin,23.3,26.9,,,,
AAR,M,adult,731,73.1,300.5,3.795,NA,409,25,5/29/21,dorsal dark,21.2,25.7,,,,
ABG,M,adult,933,93.3,690.4,8.99,NA,369,23,5/30/21,dorsal dark,22.5,33.6,,,,
ABPu,M,adult,520,52,86.2,7.043333333,NA,353,26,5/29/21,dorsal dark,22.6,27.6,,,,
ABR,M,adult,780,78,318.8,6.456666667,NA,410.5,25,5/28/21,dorsal dark,23.8,22.3,,,,
ABW,M,adult,1014,101.4,877.1,7.526666667,NA,383,16,5/26/21,dorsal dark,17.8,36.1,,,,
ABY,M,adult,953,95.3,603.6,9.925,NA,443.6666667,18,5/23/21,dorsal dark,18.8,26.8,,,,
AGG,M,adult,611,61.1,159,6.31,NA,402.6666667,25,6/1/21,dorsal dark,24.3,21.7,,,,
AGR,M,adult,693,69.3,215.5,4.25,NA,417.3333333,24,5/29/21,dorsal dark,20.9,26.4,,,,
AGW,M,adult,876,87.6,505.4,3.046666667,NA,396,20.5,5/26/21,dorsal dark,19.9,26.7,,,,
AGY,M,adult,792,79.2,405.3,5.926666667,NA,402,18,5/23/21,dorsal dark,19.5,27.1,,,,
ARP,M,adult,915,91.5,652,8.49,NA,424,23,5/30/21,dorsal dark,22.3,33.3,,,,
ARR,M,adult,912,91.2,452.4,7.72,NA,530,26,5/29/21,dorsal dark,23.7,25.7,,,,
ARY,M,adult,971,97.1,741.7,3.24,NA,423.6666667,18,5/23/21,dorsal dark,20.1,23.2,,,,
AYY,M,adult,675,67.5,204.5,4.103333333,NA,453,18,5/23/21,dorsal dark,20.2,24.4,,,,
B1,M,adult,422,42.2,NA,4.006666667,NA,NA,25.5,5/29/21,dorsal dark,22.4,27.4,,,,
BGP,M,adult,NA,NA,NA,7.496666667,NA,NA,18,5/26/21,dorsal dark,15.5,37.3,,,,
BPP,M,adult,974,97.4,697.7,5.996666667,NA,471,18,5/23/21,dorsal dark,19.9,25.5,,,,
BPPu,M,adult,708,70.8,236.2,6.92,NA,344.5,28,6/1/21,dorsal dark,23.8,21.5,,,,
BPW,M,adult,1007,100.7,849.1,9.125,NA,432,18,5/23/21,dorsal dark,16.5,25.3,,,,
BRB,M,adult,806,80.6,355.8,7.673333333,NA,403,27,5/28/21,dorsal dark,24,24.6,,,,
BRGG,M,adult,884,88.4,NA,6.876666667,NA,406.5,18,5/26/21,dorsal dark,14.9,41.3,,,,
BWB,M,adult,916,91.6,502.9,8.785,NA,378.6666667,26,5/29/21,dorsal dark,24,25.2,,,,
GBG,M,adult,963,96.3,680,7.906666667,NA,409.6666667,24,5/30/21,dorsal dark,22,33.7,,,,
GBY,M,adult,966,96.6,673.1,5.373333333,NA,387,16,5/26/21,dorsal dark,14.5,41.1,,,,
GRY,M,adult,709,70.9,275.5,5.173333333,NA,520,18,5/23/21,dorsal dark,19.9,24.5,,,,
GYY,M,adult,1102,110.2,968.4,5.515,NA,406,19,5/26/21,dorsal dark,16.7,38.2,,,,
O1,F,adult,853,85.3,344.7,7.343333333,N,417.5,25,6/1/21,dorsal dark,23.6,24.9,,,,
O2,F,adult,803,80.3,346.6,6.073333333,Y,405.3333333,24.5,6/1/21,dorsal dark,22.9,25.2,,,,
PBA,F,adult,935,93.5,709.7,4.973333333,Y,420.3333333,18,5/23/21,dorsal dark,18.4,27.3,,,,
PGA,M,adult,515,51.5,80.6,10.56333333,NA,436.5,18,5/23/21,dorsal dark,19.1,24.3,,,,
PiPuA,F,adult,773,77.3,444.8,7.066666667,Y,387.5,18,5/23/21,dorsal dark,19,25,,,,
PPA,F,adult,910,91,489.9,10.92,Y,409.5,18,5/23/21,dorsal dark,18.9,28.5,,,,
PPB,F,adult,NA,NA,NA,7.683333333,N ,414,23.5,5/31/21,dorsal dark,21.8,26.5,,,,
PPPu,F,adult,721,72.1,196.8,5.246666667,N,485,24,5/31/21,dorsal dark,21.6,26.8,,,,
PPuR,F,adult,884,88.4,494.4,6.16,Y,405,26,5/31/21,dorsal dark,22.7,26.3,,,,
