Crotalus viridis Mother Measurements Exp 2 (2022),,,,,,,,,,,,,,,,,,,,,
IndivID,DateofCapture,RookeryCaptureID,HydrationTreatment,SVL(cm),DateOfParturition,TimeOfParturition,LiveOffspring,DeadOffspring,Slugs,Sample#,CEWL&BloodCollectDate,TbCEWL(C),ShedStage,StageOfPregnancy,Mass(g),DateBloodAnalyzed,PlasmaOsmolalityRep1(mmol/kg),PlasmaOsmolalityRep2(mmol/kg),PlasmaOsmolalityRep3(mmol/kg),PlasmaOsmolalityRep4(mmol/kg),Notes
101,8-21-22,1,W,84.0,9-3-22,22:45,6,0,0,1,8-22-22,30.2,APP,DAC,648.6,8-22-22,348,342,338,341,"
"
,,,,,,,,,,2,8-29-22,26.4,APP,1WAC,671.0,8-29-22,331,333,328,336,
,,,,,,,,,,3,9-4-22,27.6,APP,DAB,501.2,9-15-22,326,335,325,327,
102,8-21-22,1,W,66.0,NA,NA,NA,NA,NA,1,8-22-22,28.5,APP,DAC,298.5,8-22-22,318,323,323,326,bloody cloaca when captured
,,,,,,,,,,2,8-29-22,26.8,APP,1WAC,308.1,8-29-22,330,329,327,327,
,,,,,,,,,,3,9-5-22,29.2,APP,2WAC,314.3,9-16-22,296,287,290,NA,
103,8-21-22,1,C,76.5,9-5-22,22:15,7,0,0,1,8-22-22,27.8,APP,DAC,461.5,8-22-22,318,316,318,320,"bloody cloaca when captured
shed on 8/27 at 8:30pm"
,,,,,,,,,,2,8-29-22,27.7,POST,1WAC,430.3,8-29-22,343,344,343,342,
,,,,,,,,,,3,9-5-22,28.8,POST,2WAC,411.7,9-16-22,305,305,303,NA,
,,,,,,,,,,4,9-6-22,27.2,POST,DAB,278.7,9-18-22,333,332,330,NA,
104,8-21-22,1,W,90.5,9-5-22,15:40,8,0,0,1,8-22-22,26.8,APP,DAC,597.0,8-22-22,324,327,329,327,
,,,,,,,,,,2,8-29-22,26.5,APP,1WAC,592.6,8-29-22,326,324,332,324,
,,,,,,,,,,3,9-6-22,28.0,APP,DAB,431.1,9-18-22,327,319,319,316,
105,8-21-22,1,C,86.5,9-5-22,0:15,6,1,1,1,8-22-22,28.5,APP,DAC,312.2,8-22-22,346,344,346,343,
,,,,,,,,,,2,8-29-22,28.5,APP,1WAC,303.5,8-29-22,370,367,361,363,
,,,,,,,,,,3,9-5-22,28.3,APP,DAB,181.7,9-16-22,329,314,318,322,
107,8-21-22,1,W,71.0,NA,NA,NA,NA,NA,1,8-22-22,28.6,NA,DAC,369.0,8-22-22,323,321,324,323,"no rattle
sample 1 slightly hemolyzed
sample 2 hemolyzed"
,,,,,,,,,,2,8-29-22,29.0,NA,1WAC,386.8,8-29-22,331,328,335,329,
,,,,,,,,,,3,9-5-22,27.2,NA,2WAC,393.6,9-18-22,301,297,300,NA,
108,8-21-22,L3,C,68.0,NA,NA,NA,NA,NA,1,8-22-22,29.2,APP,DAC,377.5,8-22-22,316,315,315,315,
,,,,,,,,,,2,8-29-22,28.7,APP,1WAC,368.9,8-29-22,354,340,337,343,
,,,,,,,,,,3,9-5-22,29.4,APP,2WAC,359.2,9-16-22,324,325,322,326,
