Crotalus viridis Neonate Day After Brith Measurements Exp 2  (2022),,,,,,,,,,,,,,,,,
IndivID,DateBorn,TailLength(cm),TailLength/SVLRatio,Sex,SVL(cm),MotherID,Treatment,CEWL&BloodCollectDate,TbCEWL(C),Mass(g),DateBloodAnalyzed,PlasmaOsmolalityRep1(mmol/kg),PlasmaOsmolalityRep2(mmol/kg),PlasmaOsmolalityRep3(mmol/kg),PlasmaOsmolalityRep4(mmol/kg),Pee,Notes
300,8-26-22,1.5,0.0658,F,22.8,125,C,8-28-22,30.1,15.1,8-28-22,306,NA,NA,NA,N,sample hemolyzed
301,8-26-22,1.9,0.0852,M,22.3,125,C,8-28-22,27.0,13.7,8-28-22,312,NA,NA,NA,N,sample hemolyzed
302,8-26-22,2.2,0.1028,M,21.4,125,C,8-28-22,28.8,13.3,8-28-22,304,NA,NA,NA,N,sample hemolyzed
303,8-26-22,1.9,0.0841,M,22.6,125,C,8-28-22,26.9,16.6,8-28-22,313,NA,NA,NA,N,sample hemolyzed and not a full 10 microliters
304,8-26-22,2.3,0.0975,M,23.6,125,C,8-28-22,27.7,16.5,8-28-22,293,NA,NA,NA,N,sample hemolyzed
305,8-27-22,1.7,0.0769,M,22.1,135,C,8-28-22,28.1,16.7,8-28-22,279,277,NA,NA,N,
306,8-27-22,1.6,0.0714,F,22.4,135,C,8-28-22,26.8,17.4,8-28-22,279,276,285,NA,N,
307,8-27-22,1.3,0.0610,F,21.3,135,C,8-28-22,26.2,17.8,8-28-22,287,289,NA,NA,N,
308,8-27-22,1.2,0.0533,F,22.5,135,C,8-28-22,27.7,16.6,8-28-22,285,283,283,NA,N,
309,8-27-22,2.0,0.0858,M,23.3,135,C,8-28-22,28.3,17.1,8-28-22,289,NA,NA,NA,N,
310,8-28-22,1.7,0.0714,F,23.8,129,C,8-28-22,28.5,15.7,8-28-22,288,NA,NA,NA,N,
311,8-28-22,2.1,0.0968,M,21.7,129,C,8-28-22,29.7,15.3,9-28-22,282,281,NA,NA,N,
312,8-28-22,2.1,0.0955,M,22.0,129,C,8-28-22,28.3,14.9,8-28-22,291,296,NA,NA,N,sample hemolyzed
313,8-28-22,1.5,0.0664,F,22.6,129,C,8-28-22,28.4,14.8,8-28-22,289,NA,NA,NA,N,sample hemolyzed
314,8-28-22,2.1,0.0955,M,22.0,129,C,8-28-22,28.9,15.2,8-28-22,300,NA,NA,NA,N,sample hemolyzed
315,8-28-22,1.6,0.0681,F,23.5,128,W,8-29-22,27.5,16.3,8-30-22,305,NA,NA,NA,Y,
316,8-28-22,1.9,0.0864,M,22.0,128,W,8-29-22,28.5,15.0,8-30-22,287,285,NA,NA,Y,
317,8-28-22,1.9,0.0884,M,21.5,128,W,8-29-22,29.4,15.1,8-30-22,290,294,NA,NA,Y,
318,8-28-22,2.0,0.0976,M,20.5,128,W,8-29-22,29.4,13.3,8-30-22,316,NA,NA,NA,Y,
319,8-28-22,2.0,0.0930,M,21.5,128,W,8-29-22,31.3,14.3,8-30-22,302,305,302,NA,N,
320,8-30-22,2.0,0.0893,M,22.4,134,W,8-31-22,30.5,12.4,8-31-22,282,NA,NA,NA,N,
321,8-30-22,1.7,0.0773,M,22.0,134,W,8-31-22,27.2,13.7,8-31-22,278,NA,NA,NA,Y,
322,8-30-22,2.0,0.0909,M,22.0,134,W,8-31-22,28.8,13.4,8-31-22,277,NA,NA,NA,Y,
323,8-30-22,1.7,0.0762,M,22.3,134,W,8-31-22,25.8,12.9,8-31-22,280,287,NA,NA,Y,
324,8-30-22,2.0,0.0957,M,20.9,134,W,8-31-22,29.0,11.6,8-31-22,282,NA,NA,NA,N,sample hemolyzed
325,8-30-22,2.0,0.0816,M,24.5,124,W,8-31-22,30.4,19.8,8-31-22,284,NA,NA,NA,N,
326,8-30-22,2.0,0.0800,M,25.0,124,W,8-31-22,28.0,20.0,8-31-22,281,281,281,NA,N,
327,8-30-22,2.0,0.0889,M,22.5,124,W,8-31-22,27.3,14.9,8-31-22,283,NA,NA,NA,Y,
328,8-30-22,1.8,0.0766,M,23.5,124,W,8-31-22,27.2,18.5,8-31-22,286,288,NA,NA,Y,
329,8-30-22,2.5,0.1033,M,24.2,124,W,8-31-22,27.2,19.1,8-31-22,280,NA,NA,NA,Y,
330,8-30-22,1.3,0.0596,F,21.8,133,C,8-31-22,29.5,14.3,9-1-22,317,327,NA,NA,Y,
331,8-30-22,2.0,0.0885,M,22.6,133,C,8-31-22,30.3,14.1,9-1-22,298,300,295,NA,N,
