Indiv_ID,CEWL_Blood_Collect_Date,CEWL_g_m2h,Change_in_CEWL,Days_in_tmt_until_birth
101,8/22/22,24.3325,0,12
101,8/29/22,16.14,-8.1925,12
101,9/4/22,20.9125,-3.42,12
102,8/22/22,30.15,0,NA
102,8/29/22,20.505,-9.645,NA
102,9/5/22,23.03,-7.12,NA
103,8/22/22,26.865,0,14
103,8/29/22,12.774,-14.091,14
103,9/5/22,23.575,-3.29,14
103,9/6/22,21.12,-5.745,14
104,8/22/22,22.08,0,14
104,8/29/22,16.6775,-5.4025,14
104,9/6/22,18.405,-3.675,14
105,8/22/22,25.67,0,14
105,8/29/22,17.588,-8.082,14
105,9/5/22,13.5,-12.17,14
107,8/22/22,29.1775,0,NA
107,8/29/22,13.1575,-16.02,NA
107,9/5/22,23.4525,-5.725,NA
108,8/22/22,23.3,0,NA
108,8/29/22,18.91,-4.39,NA
108,9/5/22,16.3,-7,NA
110,8/22/22,26.1425,0,NA
110,8/29/22,12.5925,-13.55,NA
110,9/5/22,13.4825,-12.66,NA
111,8/22/22,22.95,0,NA
111,8/29/22,14.998,-7.952,NA
111,9/5/22,15.8725,-7.0775,NA
112,8/22/22,26.252,0,13
112,8/29/22,14.498,-11.754,13
112,9/5/22,19.7375,-6.5145,13
113,8/22/22,16.7975,0,NA
113,8/29/22,18.9575,2.16,NA
113,9/5/22,28.4,11.6025,NA
114,8/22/22,26.39,0,13
114,8/29/22,17.0225,-9.3675,13
114,9/5/22,16.2275,-10.1625,13
115,8/22/22,23.805,0,14
115,8/29/22,14.0325,-9.7725,7
115,9/5/22,27.4975,3.6925,7
115,9/6/22,21.254,-2.551,7
116,8/24/22,24.004,0,NA
116,8/31/22,13.405,-10.599,NA
117,8/23/22,24.208,0,NA
117,8/30/22,12.2075,-12.0005,NA
117,9/6/22,20.96,-3.248,NA
119,8/24/22,29.8625,0,12
119,8/31/22,17.045,-12.8175,12
119,9/6/22,27.82,-2.0425,12
120,8/24/22,26.28666667,0,NA
120,8/31/22,9.503333333,-16.78333333,NA
120,9/6/22,17.69,-8.596666667,NA
123,8/25/22,13.4825,0,NA
123,9/1/22,14.118,0.6355,NA
124,8/26/22,22.6625,0,4
124,8/31/22,16.965,-5.6975,4
125,8/26/22,14.5825,0,1
125,8/28/22,19.902,5.3195,1
125,9/4/22,13.86,-0.7225,1
126,8/26/22,26.76,0,6
126,9/2/22,10.265,-16.495,1
127,8/26/22,16.6325,0,8
127,9/3/22,16.6025,-0.03,8
127,9/4/22,22.4625,5.83,8
128,8/26/22,22.8175,0,2
128,8/29/22,24,1.1825,2
128,9/5/22,23.115,0.2975,2
129,8/26/22,17.1375,0,2
129,8/28/22,24.4725,7.335,2
129,9/4/22,15.3825,-1.755,2
130,8/26/22,21.345,0,NA
130,9/3/22,17.375,-3.97,NA
131,8/26/22,18.75,0,4
131,8/31/22,11.68,-7.07,4
133,8/26/22,21.384,0,4
133,8/31/22,18.7975,-2.5865,4
134,8/26/22,24.85,0,4
134,8/31/22,17.8275,-7.0225,4
135,8/26/22,24.45,0,1
135,8/28/22,20.595,-3.855,1
135,9/4/22,14.914,-9.536,1
