Place,Date,Time,Value,Unit,Value,Unit,Value,Unit,Value,Unit
1,8/18/22,10:53:54,3,T1 KTemp C,1.4,T2 KTemp C,1.8,T3 KTemp C,22.6,T4 KTemp C
2,8/18/22,10:54:54,1.2,T1 KTemp C,1.5,T2 KTemp C,2.2,T3 KTemp C,23,T4 KTemp C
3,8/18/22,10:55:54,1.2,T1 KTemp C,1.3,T2 KTemp C,2,T3 KTemp C,23,T4 KTemp C
4,8/18/22,10:56:54,1.2,T1 KTemp C,1.2,T2 KTemp C,1.9,T3 KTemp C,22.9,T4 KTemp C
5,8/18/22,10:57:54,1.1,T1 KTemp C,6.2,T2 KTemp C,1.8,T3 KTemp C,22.9,T4 KTemp C
6,8/18/22,10:58:54,1.1,T1 KTemp C,1.7,T2 KTemp C,2.1,T3 KTemp C,22.9,T4 KTemp C
7,8/18/22,10:59:54,1.1,T1 KTemp C,2.5,T2 KTemp C,2.1,T3 KTemp C,22.9,T4 KTemp C
8,8/18/22,11:00:54,1.1,T1 KTemp C,1.8,T2 KTemp C,2.3,T3 KTemp C,22.9,T4 KTemp C
9,8/18/22,11:01:54,1.1,T1 KTemp C,1.5,T2 KTemp C,2.4,T3 KTemp C,22.9,T4 KTemp C
10,8/18/22,11:02:54,1.1,T1 KTemp C,1.5,T2 KTemp C,2.5,T3 KTemp C,22.9,T4 KTemp C
11,8/18/22,11:03:54,1.1,T1 KTemp C,1.5,T2 KTemp C,2.6,T3 KTemp C,22.9,T4 KTemp C
12,8/18/22,11:04:54,1,T1 KTemp C,1.6,T2 KTemp C,2.6,T3 KTemp C,22.9,T4 KTemp C
13,8/18/22,11:05:54,1.1,T1 KTemp C,1.6,T2 KTemp C,2.6,T3 KTemp C,22.9,T4 KTemp C
14,8/18/22,11:06:54,1.1,T1 KTemp C,1.8,T2 KTemp C,2.4,T3 KTemp C,22.9,T4 KTemp C
15,8/18/22,11:07:54,1.1,T1 KTemp C,6.3,T2 KTemp C,2.4,T3 KTemp C,23,T4 KTemp C
16,8/18/22,11:08:54,1.1,T1 KTemp C,6.8,T2 KTemp C,2.3,T3 KTemp C,23,T4 KTemp C
